trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-27.13508048284636,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-128.59758452488222,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-107.14401192895134,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-48.3905321378259,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-132.07883688192518,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,4,-176.82323347665704,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 4}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-119.79028178510913,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,9,-49.77795183051538,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,2,-117.62830983803102,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 2}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",30,0,-34.86786995263006,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,11,-11.690117848973209,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",35,0,-123.7926868549601,"{0: 25, 1: 4, 2: 3, 3: 1, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-132.18315369591843,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-50.396652774202295,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,3,-81.82319460710895,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-114.93469880357802,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",30,0,-50.89034674300638,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,0,-81.40365160716854,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",30,0,-109.36242080445685,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,0,-47.979326616022576,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,3.0815251989646346,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-34.586646939523256,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-6.627641446692055,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-93.05558023288826,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,16,6.810725268719018,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,9,-80.56073610741183,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,7,-79.25546617329098,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,11,-8.164458952242379,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-1.3947280061627003,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,0,-14.72133040337597,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",35,13,-22.147626605497678,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",30,11,-142.9080564493703,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 2}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-28.218891320144007,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,17,-38.23140503721634,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,13,15.663553970776713,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,10,-32.880902407819995,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,8,-22.065874002824305,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",30,0,-49.18041162264538,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,3,-96.49837209268706,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 2}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,14,-0.45288890604353593,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-51.35256374893784,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,11,4.216304525708285,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,2,-37.336230876526926,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
